SWR,Manhole From,Manhole To,Start GL,Stop GL,Length Swr,dia,Slope,Start IL ,Stop IL,Manhole From GL,Manhole From IL,Manhole Distance,chainage,Manhole To IL
SWR-742(1),A13-16-02,A13-16,7.96,8.25,63.7,600,597,3.52,3.41,7.96,3.52,0,333,2.87
SWR-742(2),A13-16,A13-15,8.25,8.7,97.1,1200,2000,2.87,2.82,8.25,2.87,63.7,396.7,2.82
SWR-750,A13-15,A13-14,8.7,7.34,235.1,1200,2000,2.82,2.71,8.7,2.82,97.1,493.8,2.71
SWR-762,A13-14,A13-13,7.34,7.69,140.9,1200,2000,2.71,2.64,7.34,2.71,235.1,728.9,2.64
SWR-770,A13-13,A13-12,7.69,7.62,134.5,1200,2000,2.64,2.57,7.69,2.64,140.9,869.8,2.57
SWR-771,A13-12,A13-11,7.62,7.01,167.7,1200,1500,2.57,2.46,7.62,2.57,134.5,1004.3,1.46
SWR-787,A13-11,A13-10,7.01,6.23,79.7,1200,1500,1.46,1.41,7.01,1.46,167.7,1172,1.41
SWR-803,A13-10,A13-09,6.23,5.78,158.9,1200,1500,1.41,1.3,6.23,1.41,79.7,1251.7,0.59
SWR-1022,A13-09,A13-08,5.78,5.33,203.1,1200,2000,0.85,0.74,5.78,0.59,158.9,1410.6,0.74
SWR-1027,A13-08,A13-07,5.33,5,180.9,1200,2000,0.74,0.65,5.33,0.74,203.1,1613.7,0.65
SWR-1028,A13-07,A13-06,5,4.2,203.3,1200,2000,0.65,0.55,5,0.65,180.9,1794.6,0.55
SWR-1185,A13-06,A13-05,4.2,4.15,88.9,1200,2000,0.55,0.51,4.2,0.55,203.3,1997.9,0.51
SWR-1186,A13-05,A13-04,4.15,4.1,221.1,1200,2000,0.51,0.4,4.15,0.51,88.9,2086.8,-1.32
SWR-1191,A13-04,A13-03,4.1,4.2,210.4,1200,2000,-1.32,-1.43,4.1,-1.32,221.1,2307.9,-5.31
SWR-1327,A13-03,A13-02,4.2,4,202.1,1500,2021,-5.31,-5.41,4.2,-5.31,210.4,2518.3,-5.41
SWR-1355,A13-02,A13-01,4,4.06,144.4,1500,1978,-5.41,-5.48,4,-5.41,202.1,2720.4,-5.48
SWR-1471,A13-01,A13,4.06,3.99,190.3,1500,2003,-5.48,-5.58,4.06,-5.48,144.4,2864.8,-6.09
