SWR,Manhole From,Manhole To,Start GL,Stop GL,Length Swr,dia,Slope,Start IL ,Stop IL,Manhole From GL,Manhole From IL,Manhole Distance
SWR-1471,A13-01,A13,4.06,3.99,3555.1,1500,2003,-5.48,-5.58,4.06,-5.48,0
SWR-1488,A13,A12,3.99,4.66,137.4,2100,1991,-6.09,-6.16,3.99,-6.09,3555.1
SWR-1616,A12,A11,4.66,4.15,112.3,2100,2000,-9.1,-9.16,4.66,-9.1,137.4
SWR-1648,A11,A10,4.15,4,265.7,2100,2000,-9.16,-9.29,4.15,-9.16,112.3
SWR-1649,A10,A09,4,4,191.1,2100,2000,-9.29,-9.39,4,-9.29,265.7
SWR-1650,A09,A08,4,3.88,197.7,2100,1989,-9.39,-9.49,4,-9.39,191.1
SWR-1733,A08,A07,3.88,4.36,169.7,2100,2013,-9.49,-9.57,3.88,-9.49,197.7
SWR-1734,A07,A06,4.36,4.5,229,2100,2000,-9.57,-9.68,4.36,-9.57,169.7
SWR-1735,A06,A05,4.5,3.96,150.7,2100,2000,-9.68,-9.76,4.5,-9.68,229
SWR-1736,A05,A04,3.96,4.22,194.6,2100,2000,-9.76,-9.86,3.96,-9.76,150.7
SWR-1737,A04,A03,4.22,4.44,67.1,2100,2000,-9.86,-9.89,4.22,-9.86,194.6
SWR-1801,A03,A02,4.44,4,217.7,2100,2000,-9.89,-10,4.44,-9.89,67.1
SWR-1802,A02,A01,4,4.36,135.3,2100,2000,-10,-10.07,4,-10,217.7
SWR-1803,A01,A00,4.36,4.36,61.2,2100,2000,-10.07,-10.1,4.36,-10.07,135.3
,A00,,,,,,,,,4.36,-10.1,61.2
